symbol,date,monthly.returns
AAPL,2014-01-31,-0.09496901216646447
AAPL,2014-02-28,0.0575110558840346
AAPL,2014-03-31,0.019953141275693698
AAPL,2014-04-30,0.09939579592255465
AAPL,2014-05-30,0.07870973634780865
AAPL,2014-06-30,0.027661790625949312
AAPL,2014-07-31,0.0287313523630921
AAPL,2014-08-29,0.07750878633474656
AAPL,2014-09-30,-0.01707314772476476
AAPL,2014-10-31,0.07196019911234575
AAPL,2014-11-28,0.10597868676662725
AAPL,2014-12-31,-0.07189099024322976
AAPL,2015-01-30,0.06142411834972972
AAPL,2015-02-27,0.10077646333401669
AAPL,2015-03-31,-0.03137148857753036
AAPL,2015-04-30,0.005786373627247876
AAPL,2015-05-29,0.04533882959102442
AAPL,2015-06-30,-0.03722731271845903
AAPL,2015-07-31,-0.032926586848422645
AAPL,2015-08-31,-0.0661963726634418
AAPL,2015-09-30,-0.021816191005326835
AAPL,2015-10-30,0.08340887726186463
AAPL,2015-11-30,-0.00580428964546531
AAPL,2015-12-31,-0.11022819266095463
AAPL,2016-01-29,-0.07524230896820316
AAPL,2016-02-29,-0.001287821580650661
AAPL,2016-03-31,0.12721097760456845
AAPL,2016-04-29,-0.1399211545403174
AAPL,2016-05-31,0.0717728062724794
AAPL,2016-06-30,-0.04265960170092575
AAPL,2016-07-29,0.09006277664267937
AAPL,2016-08-31,0.023651755114586503
AAPL,2016-09-30,0.06550446005307387
AAPL,2016-10-31,0.004334164541412333
AAPL,2016-11-30,-0.021600912744098477
AAPL,2016-12-30,0.04795533171719568
AAPL,2017-01-31,0.04774637561020545
AAPL,2017-02-28,0.13377751591014664
AAPL,2017-03-31,0.04868981625153723
AAPL,2017-04-28,-6.938204611484089e-5
AAPL,2017-05-31,0.06780711139010442
AAPL,2017-06-30,-0.05721357302368901
AAPL,2017-07-31,0.032703398589805976
AAPL,2017-08-31,0.10699968230966062
AAPL,2017-09-29,-0.06024383628546304
AAPL,2017-10-31,0.09680732009711468
AAPL,2017-11-30,0.02027813056582395
AAPL,2017-12-29,-0.015245889993496964
AAPL,2018-01-31,-0.010636543607235649
AAPL,2018-02-28,0.06818534171442714
AAPL,2018-03-29,-0.05805081718043725
AAPL,2018-04-30,-0.015019789331271127
AAPL,2018-05-31,0.1351239794501078
AAPL,2018-06-29,-0.009418284586616754
AAPL,2018-07-31,0.02798337153504704
AAPL,2018-08-31,0.20042215018083986
AAPL,2018-09-28,-0.008302915950258116
AAPL,2018-10-31,-0.03047760630399521
AAPL,2018-11-30,-0.1811974548798606
AAPL,2018-12-28,-0.12515407736635753
GOOG,2014-01-31,0.06095483843415139
GOOG,2014-02-28,0.029365642211191867
GOOG,2014-03-31,-0.08275083484541679
GOOG,2014-04-30,-0.05441946351413862
GOOG,2014-05-30,0.06309578118038606
GOOG,2014-06-30,0.02748757318435535
GOOG,2014-07-31,-0.00639698191885818
GOOG,2014-08-29,0
GOOG,2014-09-30,0.010077031418459947
GOOG,2014-10-31,-0.03166137297074978
GOOG,2014-11-28,-0.030854243474531584
GOOG,2014-12-31,-0.028477579792876573
GOOG,2015-01-30,0.015425517648320897
GOOG,2015-02-27,0.04467560360583178
GOOG,2015-03-31,-0.01862459732602384
GOOG,2015-04-30,-0.0167604514257651
GOOG,2015-05-29,-0.009733203940402557
GOOG,2015-06-30,-0.02180000457800091
GOOG,2015-07-31,0.2019173964733587
GOOG,2015-08-31,-0.011764517830597288
GOOG,2015-09-30,-0.01589971694298431
GOOG,2015-10-30,0.16828838631208698
GOOG,2015-11-30,0.04472362390164397
GOOG,2015-12-31,0.02192294581408727
GOOG,2016-01-29,-0.020991487455197078
GOOG,2016-02-29,-0.060811604032885325
GOOG,2016-03-31,0.06761543201914666
GOOG,2016-04-29,-0.06972279831605355
GOOG,2016-05-31,0.061629642815265395
GOOG,2016-06-30,-0.05928883431981824
GOOG,2016-07-29,0.11080765785291158
GOOG,2016-08-31,-0.0022632448981710906
GOOG,2016-09-30,0.013349768245883187
GOOG,2016-10-31,0.009327355778530944
GOOG,2016-11-30,-0.033777779749208925
GOOG,2016-12-30,0.018178460239565153
GOOG,2017-01-31,0.032352102821901374
GOOG,2017-02-28,0.0331580466622321
GOOG,2017-03-31,0.007713730396861074
GOOG,2017-04-28,0.09209698895566354
GOOG,2017-05-31,0.06501390789880346
GOOG,2017-06-30,-0.058174222166946565
GOOG,2017-07-31,0.02395653221624605
GOOG,2017-08-31,0.00948945687310232
GOOG,2017-09-29,0.021057626628716797
GOOG,2017-10-31,0.05998266893337911
GOOG,2017-11-30,0.004691886908013032
GOOG,2017-12-29,0.0244661991651971
GOOG,2018-01-31,0.11806196483180442
GOOG,2018-02-28,-0.05573793337306421
GOOG,2018-03-29,-0.06602518262380852
GOOG,2018-04-30,-0.014014460306845389
GOOG,2018-05-31,0.06650740533538957
GOOG,2018-06-29,0.02825834339487021
GOOG,2018-07-31,0.09107691317031485
GOOG,2018-08-31,7.64027418366231e-4
GOOG,2018-09-28,-0.020292401021187234
GOOG,2018-10-31,-0.09778208082314588
GOOG,2018-11-30,0.01640088382104099
GOOG,2018-12-28,-0.052401706824557026
NFLX,2014-01-31,0.12819031094049138
NFLX,2014-02-28,0.08868149643520407
NFLX,2014-03-31,-0.21003972106815705
NFLX,2014-04-30,-0.08519162686037729
NFLX,2014-05-30,0.2974475083681998
NFLX,2014-06-30,0.054495846113182145
NFLX,2014-07-31,-0.04058098348762562
NFLX,2014-08-29,0.12992044041179773
NFLX,2014-09-30,-0.055397343297356905
NFLX,2014-10-31,-0.1294605005702879
